NPS,OD,Schedule,ID,WT
1/8,0.405,40/STD,0.269,0.068
1/8,0.405,80/XS,0.215,0.095
1/4,0.54,40/STD,0.364,0.088
1/4,0.54,80/XS,0.302,0.119
3/8,0.675,40/STD,0.493,0.091
3/8,0.675,80/XS,0.423,0.126
1/2,0.84,40/STD,0.622,0.109
1/2,0.84,80/XS,0.546,0.147
1/2,0.84,160,0.464,0.188
1/2,0.84,XXS,0.252,0.294
3/4,1.05,40/STD,0.824,0.113
3/4,1.05,80/XS,0.742,0.154
3/4,1.05,160,0.612,0.219
3/4,1.05,XXS,0.434,0.308
1,1.315,40/STD,1.049,0.133
1,1.315,80/XS,0.957,0.179
1,1.315,160,0.815,0.25
1,1.315,XXS,0.599,0.358
1 1/4,1.66,40/STD,1.38,0.14
1 1/4,1.66,80/XS,1.278,0.191
1 1/4,1.66,160,1.16,0.25
1 1/4,1.66,XXS,0.896,0.382
1 1/2,1.9,40/STD,1.61,0.145
1 1/2,1.9,80/XS,1.5,0.2
1 1/2,1.9,160,1.338,0.281
1 1/2,1.9,XXS,1.1,0.4
2,2.375,40/STD,2.067,0.154
2,2.375,80/XS,1.939,0.218
2,2.375,160,1.687,0.344
2,2.375,XXS,1.503,0.436
2 1/2,2.875,40/STD,2.469,0.203
2 1/2,2.875,80/XS,2.323,0.276
2 1/2,2.875,160,2.125,0.375
2 1/2,2.875,XXS,1.771,0.552
3,3.5,40/STD,3.068,0.216
3,3.5,80/XS,2.9,0.3
3,3.5,160,2.624,0.438
3,3.5,XXS,2.3,0.6
3 1/2,4,40/STD,3.548,0.226
3 1/2,4,80/XS,3.364,0.318
3 1/2,4,XXS,2.728,0.636
4,4.5,40/STD,4.026,0.237
4,4.5,80/XS,3.826,0.337
4,4.5,120,3.624,0.438
4,4.5,160,3.438,0.531
4,4.5,XXS,3.152,0.674
5,5.563,40/STD,5.047,0.258
5,5.563,80/XS,4.813,0.375
5,5.563,120,4.563,0.5
5,5.563,160,4.313,0.625
5,5.563,XXS,4.063,0.75
6,6.625,40/STD,6.065,0.28
6,6.625,80/XS,5.761,0.432
6,6.625,120,5.501,0.562
6,6.625,160,5.187,0.719
6,6.625,XXS,4.897,0.864
8,8.625,20,8.125,0.25
8,8.625,30,8.071,0.277
8,8.625,40/STD,7.981,0.322
8,8.625,60,7.813,0.406
8,8.625,80/XS,7.625,0.5
8,8.625,100,7.437,0.594
8,8.625,120,7.187,0.719
8,8.625,140,7.001,0.812
8,8.625,XXS,6.875,0.875
8,8.625,160,6.813,0.906
10,10.75,20,10.25,0.25
10,10.75,30,10.136,0.307
10,10.75,40/STD,10.02,0.365
10,10.75,60/XS,9.75,0.5
10,10.75,80,9.562,0.594
10,10.75,100,9.312,0.719
10,10.75,120,9.062,0.844
10,10.75,140,8.75,1
10,10.75,160,8.5,1.125
12,12.75,20,12.25,0.25
12,12.75,30,12.09,0.33
12,12.75,STD,12,0.375
12,12.75,40,11.938,0.406
12,12.75,XS,11.75,0.5
12,12.75,60,11.626,0.562
12,12.75,80,11.374,0.688
12,12.75,100,11.062,0.844
12,12.75,120,10.75,1
12,12.75,140,10.5,1.125
12,12.75,160,10.126,1.312
14,14,10,13.5,0.25
14,14,20,13.376,0.312
14,14,30/STD,13.25,0.375
14,14,40,13.124,0.438
14,14,XS,13,0.5
14,14,60,12.812,0.594
14,14,80,12.5,0.75
14,14,100,12.124,0.938
14,14,120,11.812,1.094
14,14,140,11.5,1.125
14,14,160,11.188,1.406
16,16,10,15.5,0.25
16,16,20,15.376,0.312
16,16,30/STD,15.25,0.375
16,16,40/XS,15,0.5
16,16,60,14.688,0.656
16,16,80,14.312,0.844
16,16,100,13.938,1.031
16,16,120,13.562,1.219
16,16,140,13.124,1.438
16,16,160,12.812,1.594
18,18,10,17.5,0.25
18,18,20,17.376,0.312
18,18,STD,17.25,0.375
18,18,30,17.124,0.438
18,18,XS,17,0.5
18,18,40,16.876,0.562
18,18,60,16.5,0.75
18,18,80,16.124,0.938
18,18,100,15.688,1.156
18,18,120,15.25,1.375
18,18,140,14.876,1.562
18,18,160,14.438,1.781
20,20,10,19.5,0.25
20,20,20/STD,19.25,0.375
20,20,30/XS,19,0.5
20,20,40,18.812,0.594
20,20,60,18.376,0.812
20,20,80,17.938,1.031
20,20,100,17.438,1.281
20,20,120,17,1.5
20,20,140,16.5,1.75
20,20,160,16.062,1.969
22,22,10,21.5,0.25
22,22,20/STD,21.25,0.375
22,22,30/XS,21,0.5
22,22,60,20.25,0.875
22,22,80,19.75,1.125
22,22,100,19.25,1.375
22,22,120,18.75,1.625
22,22,140,18.25,1.875
22,22,160,17.75,2.125
24,24,10,23.5,0.25
24,24,20/STD,23.25,0.375
24,24,XS,23,0.5
24,24,30,22.876,0.562
24,24,40,22.624,0.688
24,24,60,22.062,0.969
24,24,80,21.562,1.219
24,24,100,20.938,1.531
24,24,120,20.376,1.812
24,24,140,19.876,2.062
24,24,160,19.312,2.344
