NPS,OD,Schedule,ID,WT
1/8,0.405,10S,0.307,0.049
1/8,0.405,40S,0.269,0.068
1/8,0.405,80S,0.213,0.096
1/4,0.54,10S,0.41,0.065
1/4,0.54,40S,0.364,0.088
1/4,0.54,80S,0.302,0.119
3/8,0.675,10S,0.545,0.065
3/8,0.675,40S,0.493,0.091
3/8,0.675,80S,0.423,0.126
1/2,0.84,5S,0.71,0.065
1/2,0.84,10S,0.674,0.083
1/2,0.84,40S,0.622,0.109
1/2,0.84,80S,0.546,0.147
3/4,1.05,5S,0.92,0.065
3/4,1.05,10S,0.884,0.083
3/4,1.05,40S,0.824,0.113
3/4,1.05,80S,0.742,0.154
1,1.315,5S,1.185,0.065
1,1.315,10S,1.097,0.109
1,1.315,40S,1.049,0.133
1,1.315,80S,0.957,0.179
1 1/4,1.66,5S,1.53,0.065
1 1/4,1.66,10S,1.442,0.109
1 1/4,1.66,40S,1.38,0.14
1 1/4,1.66,80S,1.278,0.191
1 1/2,1.9,5S,1.77,0.065
1 1/2,1.9,10S,1.682,0.109
1 1/2,1.9,40S,1.61,0.145
1 1/2,1.9,80S,1.5,0.2
2,2.375,5S,2.245,0.065
2,2.375,10S,2.157,0.109
2,2.375,40S,2.067,0.154
2,2.375,80S,1.939,0.218
2 1/2,2.875,5S,2.709,0.083
2 1/2,2.875,10S,2.635,0.12
2 1/2,2.875,40S,2.469,0.203
2 1/2,2.875,80S,2.323,0.276
3,3.5,5S,3.334,0.083
3,3.5,10S,3.26,0.12
3,3.5,40S,3.068,0.216
3,3.5,80S,2.9,0.3
3 1/2,4,5S,3.834,0.083
3 1/2,4,10S,3.76,0.12
3 1/2,4,40S,3.548,0.226
3 1/2,4,80S,3.364,0.318
4,4.5,5S,4.334,0.083
4,4.5,10S,4.26,0.12
4,4.5,40S,4.026,0.237
4,4.5,80S,3.826,0.337
5,5.563,5S,5.345,0.109
5,5.563,10S,5.295,0.134
5,5.563,40S,5.047,0.258
5,5.563,80S,4.813,0.375
6,6.625,5S,6.407,0.109
6,6.625,10S,6.357,0.134
6,6.625,40S,6.065,0.28
6,6.625,80S,5.761,0.432
8,8.625,5S,8.407,0.109
8,8.625,10S,8.329,0.148
8,8.625,40S,7.981,0.322
8,8.625,80S,7.625,0.5
10,10.75,5S,10.482,0.134
10,10.75,10S,10.42,0.165
10,10.75,40S,10.02,0.365
10,10.75,80S,9.75,0.5
12,12.75,5S,12.438,0.156
12,12.75,10S,12.39,0.18
12,12.75,40S,12,0.375
12,12.75,80S,11.75,0.5
14,14,5S,13.688,0.156
14,14,10S,13.624,0.188
16,16,5S,15.67,0.165
16,16,10S,15.624,0.188
18,18,5S,17.67,0.165
18,18,10S,17.624,0.188
20,20,5S,19.624,0.188
20,20,10S,19.564,0.218
22,22,5S,21.624,0.188
22,22,10S,21.564,0.218
24,24,5S,23.564,0.218
24,24,10S,23.5,0.25
